"普通","ふつう","adj-no, adv","general","ordinary, usual, normally, generally, usually, train that stops at every station",
"遠く","とおく","adj-no, n-adv, n","far away","distant, at a distance, distant place, by far",
"昔","むかし","adj-no, n-adv, n-t","olden days","former",
"最初","さいしょ","adj-no, n-adv, n-t","beginning","outset, first, onset",
"最近","さいきん","adj-no, n-adv, n-t","most recent","these days, right now, recently, nowadays",
"中中, 中々","なかなか","adv","very","considerably, easily, readily, fairly, quite, highly, rather, by no means (with negative verb)",
"例えば","たとえば","adv","for example","e.g.",
"先ず","まず","adv","first (of all)","to start with, about, almost, anyway, well, now, hardly (with neg. verb)",
"全然","ぜんぜん","adv","not at all (with neg. verb)","wholly, entirely, completely",
"其れ程, それ程","それほど","adv","to that degree (usu. Kana only)","extent",
"到頭","とうとう","adv","finally","at last, (literally) reaching a head",
"勿論","もちろん","adv","of course","certainly, naturally",
"大分","だいぶ, だいぶん","adv","considerably","greatly, a lot",
"必ず","かならず","adv","certainly","always,without exception, necessarily, without fail, positively, invariably",
"成るべく, 成る可く","なるべく","adv","as much as possible","wherever practicable",
"最も","もっとも","adv","most","extremely",
"決して","けっして, けして","adv","never","by no means (always uses negative verb), decidedly, indisputably",
"特に","とくに","adv","particularly","especially",
"若し","もし","adv","if","in case, supposing",
"非常に","ひじょうに","adv","very","extremely, exceedingly",
"すっかり","すっかり","adv","all","completely,thoroughly",
"そう","そう","adv","really",,
"ちっとも","ちっとも","adv","not at all (neg. verb)",,
"どんどん","どんどん","adv","steadily","little by little",
"やっと","やっと","adv","at last","at length",
"暫く, 暫らく","しばらく","adv, adj-no, int","little while","short while, moment, instant, a while, quite a time, it's been a long time",
"随分, 隨分","ずいぶん","adv, adv-to, adj-na","very","extremely, surprisingly, considerably, contemptible, reprehensible",
"割合, 割り合い","わりあい","adv, n","rate","ratio, percentage, proportion, comparatively, contrary to expectations",
"是非","ぜひ","adv, n","certainly","without fail",
"皆","みな, みんな","adv, n","all","everyone, everybody, everything",
"きっと","きっと","adv, n","surely","undoubtedly, almost certainly, most likely (e.g. 90 percent), sternly, severely",
"都合","つごう","adv, n, vs","circumstances","condition, convenience, to arrange, to manage",
"こう","こう","adv,int-n","like this","this way",
"ずっと","ずっと","adv,n","straight","quickly,all of a sudden",
"はっきり","はっきり","adv,n","clearly","plainly,distinctly",
"偶に, 適に","たまに","adv,suf","occasionally","once in a while",
"いらっしゃる","いらっしゃる","aru-v","(hon) to be","to come,to go",
"差し上げる, 差上げる","さしあげる","aux-v, v1, vt, v1, vt","(polite)to give","to offer, to lift up, to hold up, to raise",
"其れで","それで","conj","and (usu. Kana only)","thereupon, because of that",
"其れに","それに","conj","besides (usu. Kana only)","moreover",
"けれど/けれども","けれど/けれども","conj","but","however",
"すると","すると","conj","and","then",
"又は","または","conj, exp","or","otherwise",
"だから","だから","conj,n","so","therefore",
"お蔭様で","おかげさまで","exp","thanks to you"," (literally) under the gods' shadow",
"出来るだけ","できるだけ","exp","as much as one can","as much as possible, if at all possible",
"自由","じゆう","exp, adj-na, n","freedom","liberty, as it pleases you",
"成程, 成る程","なるほど","exp, adv","I see","That's right!, Indeed",
"矢っ張り, 矢張り, 矢っ張, 矢っ張し","やっぱり, やはり, やっぱ, やっぱし","exp, adv, adj-f","also","as I thought, still, in spite of, absolutely, of course",
"確か, 確, 慥か","たしか","exp, n, adj-na, adv","certain","sure, definite, if I'm not mistaken, if I remember correctly",
"ご覧になる, 御覧になる, ご覧に成る, 御覧に成る","ごらんになる","exp, v5r","(hon)to see","to look, to watch, (after the -te form of a verb) try to",
"～（に）ついて","～（に）ついて","expr","about","concerning,regarding",
"～ございます","～ございます","expr","to be (polite)","to exist",
"もうすぐ","もうすぐ","expr","soon","very soon",
"あ","あ","int","Ah",,
"ああ","ああ","int","like that","that way",
"～区","～く","n","district ～",,
"～町","～ちょう","n","～ of the town",,
"お土産, 御土産","おみやげ","n","present (usu. Food)","souvenir",
"お嬢さん, 御嬢さん","おじょうさん","n","(hon) daughter","young lady",
"お子さん","おこさん","n","(someone else's) child",,
"お礼, 御礼","おれい, おんれい","n","thanking","expression of gratitude",
"お見舞い","おみまい","n","calling on someone who is ill","enquiry",
"お釣り, 御釣り","おつり","n","change (i.e. money)","balance",
